номер,сцена,кто,текст,откуда взято,позиция в сведении,"длительность, с"
087,4,Кэфи,— вам — да.,кэфи.mp3 129.98-131.19,05:51.9,1.21
088,4,Кэфи,— …бля.,кэфи.mp3 132.39-133.97,05:53.9,1.58
089,4,Энер,— танец.,энер.wav 148.68-149.27,05:56.3,0.59
090,4,Флур,— нет.,untitled.mp3 102.20-102.96,05:57.2,0.76
091,4,Энер,— почему?,энер.wav 150.72-151.50,05:58.4,0.78
092,4,Флур,"— потому что я двигаюсь как бревно. и я серьезно, у меня есть видео где я танцую",untitled.mp3 103.67-108.28,05:59.5,4.61
093,4,Энер,— это можно обыграть!,энер.wav 153.46-154.91,06:04.4,1.45
094,4,Флур,"— это можно снять на видео и испортить мне жизнь второй раз, и вот тогда уже насовсем!",untitled.mp3 108.71-113.25,06:06.2,4.54
095,4,Энер,— ладно. песня.,энер.wav 157.24-158.59,06:11.1,1.35
096,4,Флур,— кто поёт?,untitled.mp3 114.18-115.05,06:12.8,0.87
097,4,Энер,— ты.,энер.wav 160.80-161.24,06:14.1,0.44
098,4,Флур,— я?!,untitled.mp3 115.89-116.52,06:14.8,0.63
099,4,Энер,"— я слышала, как ты поёшь.",энер.wav 163.54-164.76,06:15.8,1.22
100,4,Флур,— когда?!,untitled.mp3 117.20-118.25,06:17.4,1.05
101,4,Энер,— в столовой. над супом. ты пел.,энер.wav 166.60-168.97,06:18.8,2.37
102,4,Флур,"— я не пел, я жаловался мелодично.",untitled.mp3 119.00-121.86,06:21.5,2.86
103,4,Кэфи,— он пел.,кэфи.mp3 135.48-136.67,06:24.9,1.19
104,4,Флур,— НЕ ПОМОГАЙ!,untitled.mp3 121.95-123.25,06:26.4,1.30
105,4,Энер,— сценка?,энер.wav 170.32-171.09,06:28.8,0.77
106,4,Флур,— про что?,untitled.mp3 124.17-125.15,06:29.9,0.98
107,4,Энер,— про школу.,— пауза —,06:31.2,1.17
108,4,Флур,— то есть мы выйдем в школе и расскажем про школу,untitled.mp3 126.24-130.19,06:32.7,3.95
109,4,Энер,"— …когда ты так говоришь, звучит тупо.",энер.wav 172.70-174.43,06:37.0,1.73
110,4,Флур,"— наверное, потому что, так и есть???",untitled.mp3 130.94-132.77,06:39.1,1.83
111,4,Энер,"— слушай. а если честно, что тебе не страшно?",энер.wav 175.52-177.89,06:41.6,2.37
112,4,Флур,— …стоять сбоку.,untitled.mp3 134.55-135.59,06:44.5,1.04
113,4,Энер,— это не номер.,энер.wav 180.80-181.95,06:45.9,1.15
114,4,Флур,"— я в курсе, что это не номер! (пауза) но я не могу придумать что то другое",untitled.mp3 137.22-141.35,06:47.4,4.13
115,4,Энер,— что ж мы делать будем,энер.wav 184.15-185.27,06:52.0,1.12
116,4,Кэфи,— тут два прожектора не подключены с прошлого года.,кэфи.mp3 137.84-140.46,06:53.9,2.62
117,4,Энер,— и?,энер.wav 186.21-186.98,06:56.9,0.77
118,4,Кэфи,— и их можно подключить.,кэфи.mp3 141.54-143.61,06:58.0,2.07
119,4,Флур,— зачем?,untitled.mp3 141.75-142.89,07:00.4,1.14
120,4,Кэфи,(с недоумением) — чтобы было светло.,кэфи.mp3 144.86-146.27,07:01.9,1.41
121,4,Флур,— он у нас в номере вообще участвует?,untitled.mp3 143.65-145.94,07:03.8,2.29
122,4,Энер,— получается он у нас в номере работает,энер.wav 188.07-189.95,07:06.5,1.88
123,4,Энер,— можееет все таки сходим поедим?.. поможет придумать что то,энер.wav 190.77-194.38,07:08.8,3.61
124,4,Флур,— лан.. пошли,untitled.mp3 146.60-147.89,07:12.8,1.29
125,5,Флур,— я не просил.,untitled.mp3 148.44-149.53,07:16.7,1.09
126,5,Энер,— ты не ел.,— пауза —,07:18.1,1.09
127,5,Флур,— я ел.,untitled.mp3 150.47-151.51,07:19.6,1.04
128,5,Энер,"— ты держишь этот кусок уже минут сорок, и не прикоснулся. я считала.",энер.wav 195.15-198.65,07:21.0,3.50
129,5,Флур,— …ты за мной следила?,untitled.mp3 152.68-154.19,07:24.8,1.51
130,5,Энер,"— я бы рада не видеть. я пробовала. я один раз целый урок специально не смотрела ни на кого.. но.. я всё равно знала, что ты не ел.",энер.wav 200.01-207.10,07:26.7,7.09
131,5,Кэфи,— не надо.,кэфи.mp3 148.18-149.06,07:34.7,0.88
132,5,Энер,— надо.,энер.wav 209.00-209.64,07:35.9,0.64
133,5,Кэфи,— я не хочу.,кэфи.mp3 149.99-151.04,07:36.9,1.05
134,5,Энер,— ты весь день что то чинишь,энер.wav 210.84-212.61,07:38.3,1.77
135,5,Кэфи,— и что?,кэфи.mp3 152.20-153.10,07:40.4,0.90
136,5,Энер,"— и то, что я знаю. ты всегда говоришь «потом», а «потом» у тебя не наступает.",энер.wav 214.90-218.91,07:41.7,4.01
137,5,Кэфи,— ешь сама.,кэфи.mp3 154.06-155.83,07:46.2,1.77
138,5,Энер,(раздраженно) — …ага. ладно.,энер.wav 220.61-221.75,07:49.2,1.14
139,5,Флур,"— так, идея. а если мы просто выйдем и постоим четыре минуты?",untitled.mp3 155.27-159.93,07:51.2,4.66
140,5,Энер,— это перформанс.,энер.wav 224.39-225.48,07:56.2,1.09
141,5,Флур,— это перформанс?,untitled.mp3 160.86-162.06,07:57.6,1.20
142,5,Энер,— если сказать «это перформанс» - да.,энер.wav 227.06-229.10,07:59.2,2.04
143,5,Флур,— я гений.,untitled.mp3 162.95-164.01,08:01.6,1.06
144,5,Флур,— ты куда?,untitled.mp3 164.67-165.38,08:03.6,0.71
145,5,Кэфи,— нормально сделано.,кэфи.mp3 155.98-157.43,08:05.7,1.45
146,5,Энер,— неужели,энер.wav 230.27-231.02,08:08.2,0.75
147,5,Флур,— я чего-то не понял?,untitled.mp3 166.44-168.06,08:09.6,1.62
148,5,Энер,— ты много чего не понял.,энер.wav 231.95-233.20,08:11.5,1.25
149,5,Флур,— это грубо.,untitled.mp3 169.36-170.30,08:13.1,0.94
150,5,Энер,— это ласково.,энер.wav 233.78-234.92,08:14.4,1.14
151,5,Флур,— это звучало грубо!,untitled.mp3 171.24-172.66,08:15.9,1.42
152,5,Энер,— а было ласково! ешь давай.,энер.wav 236.10-238.19,08:17.7,2.09
153,6,Флур,"— «добрый вечер. мы…» нет. «здравствуйте, мы вас долго не задержим». не, это как на похоронах. «привет, мы…» пиздец",untitled.mp3 173.99-185.19,08:22.4,11.20
154,6,Энер,— ты пишешь речь?,энер.wav 239.46-240.30,08:33.9,0.84
155,6,Флур,— я пишу первую фразу.,untitled.mp3 185.77-187.26,08:35.1,1.49
156,6,Энер,— уже час?,энер.wav 241.49-242.25,08:37.0,0.76
157,6,Флур,— первая фраза решает всё!,untitled.mp3 187.65-189.92,08:38.1,2.27
