номер,сцена,кто,текст,откуда взято,позиция в сведении,"длительность, с"
306,8,Флур,"— может, у неё ключ не тот?!",untitled.mp3 326.57-328.83,14:39.8,2.26
307,8,Кэфи,— ключ у неё нормальный.,кэфи.mp3 273.64-275.14,14:42.4,1.50
308,8,Флур,— А ЧТО ТОГДА?!,untitled.mp3 329.71-331.40,14:44.3,1.69
309,8,Кэфи,— я просто не хочу.,кэфи.mp3 275.95-277.82,14:46.3,1.87
310,8,Взрослый в зале,— о. дым-машина.,— пауза —,14:49.1,1.48
311,8,Второй взрослый,— у них дым-машина?,— пауза —,14:51.0,1.71
312,8,Взрослый в зале,"— у школы есть дым-машина, оказывается.",— пауза —,14:53.0,3.25
313,8,Энер,— …А ВОТ И ПОЖАР В КВАРТИРЕ!,энер.wav 483.28-484.82,14:57.2,1.54
314,8,Флур,— у нас нет дым-машины.,untitled.mp3 332.00-333.58,14:59.1,1.58
315,8,Энер,"— я ЗНАЮ, он гений, он что-то придумал, подыгрывай!",— пауза —,15:01.0,4.17
316,8,Флур,— КТО придумал?!,untitled.mp3 334.10-335.14,15:05.6,1.04
317,8,Энер,— ДВЕРЬ!,энер.wav 486.20-486.85,15:07.0,0.65
318,8,Кэфи,— это не спецэффект.,кэфи.mp3 279.14-280.49,15:08.6,1.35
319,8,Энер,— ОН ГОВОРИТ: ЭТО НЕ СПЕЦЭФФЕКТ!,энер.wav 490.93-493.18,15:10.3,2.25
320,8,Кэфи,— Энер. это правда не спецэффект.,кэфи.mp3 281.43-283.48,15:12.9,2.05
321,8,Энер,"— ДА, ЭТО ПРАВДА НЕ СПЕЦЭФ—",энер.wav 494.69-497.19,15:15.3,2.50
322,8,Энер,— …бля.,энер.wav 498.08-498.61,15:18.8,0.53
d641,9,Массовка,голос в мегафон: «спокойно! это пробки!»,— пауза —,15:22.0,3.32
323,9,Флур,— ЗАЧЕМ МЫ БЕЖИМ?,untitled.mp3 336.07-337.68,15:25.8,1.61
324,9,Энер,— НЕ ЗНАЮ! ВЕСЕЛО!,энер_правки_и_последняя_сцена.wav 5.75-7.49,15:27.7,1.74
325,9,Флур,— ЭТО НЕ ПРИЧИНА!,untitled.mp3 338.45-339.76,15:29.8,1.31
326,9,Энер,— ЭТО ЛУЧШАЯ ПРИЧИНА!,энер_правки_и_последняя_сцена.wav 8.75-10.32,15:31.5,1.57
327,9,Флур,— я застрял.,untitled.mp3 340.54-341.45,15:33.9,0.91
328,9,Энер,— как?!,энер_правки_и_последняя_сцена.wav 11.60-12.23,15:35.1,0.63
329,9,Флур,— КАК-ТО!,untitled.mp3 342.04-343.12,15:36.1,1.08
330,9,Флур,— второй раз за вечер.,untitled.mp3 343.46-344.82,15:37.8,1.36
331,9,Кэфи,— третий.,кэфи.mp3 285.67-286.74,15:39.5,1.07
332,9,Флур,— когда был второй?!,untitled.mp3 346.11-347.45,15:41.0,1.34
333,9,Кэфи,— ты не заметил. хорошо.,кэфи.mp3 287.78-289.83,15:42.7,2.05
334,9,Флур,"— …мы что, прославились?",untitled.mp3 349.25-351.20,15:46.4,1.95
335,9,Кэфи,— наварили себе проблем,кэфи.mp3 291.39-293.22,15:48.7,1.83
336,9,Энер,— я бы назвала это грандиозным шоу!,энер_правки_и_последняя_сцена.wav 19.94-22.08,15:50.8,2.14
